,Rank,Artist,Song,Year
3880,77,Lita Ford,Close My Eyes Forever,1989
3881,78,Tiffany,All This Time,1989
3882,79,Cher and Peter Cetera,After All,1989
3883,80,Bobby Brown,Roni,1989
3884,81,Aerosmith,Love In An Elevator,1989
3885,82,Bon Jovi,Lay Your Hands On Me,1989
3886,83,When In Rome,This Promise,1989
3887,84,Edie Brickell and The New Bohemians,What I Am,1989
3888,85,Boys Club,I Remember Holding You,1989
3889,86,Guns N’ Roses,Paradise City,1989
3890,87,Samantha Fox,Iwanna Have Some Fun,1989
3891,88,Rick Astley,She Wants To Dance With Me,1989
3892,89,Vanessa Williams,Dreamin’,1989
3893,90,Babyface,It’s No Crime,1989
3894,91,Alice Cooper,Poison,1989
3895,92,Donna Summer,This Time I Know It’s For Real,1989
3896,93,Michael Jackson,Smooth Criminal,1989
3897,94,Deon Estus,Heavan Help Me,1989
3898,95,Bobby Brown,Rock Wit’cha,1989
3899,96,Sa-fire,Thinking Of You,1989
3900,97,Expose,What You Don’t Know,1989
3901,98,Ann Wilson and Robin Zander,Surrender To Me,1989
3902,99,Don Henley,The End Of The Innocence,1989
3903,100,Soul II Soul,Keep On Movin,1989
3904,1,Wilson Phillips,Hold On,1990
3905,2,Roxette,It Must Have Been Love,1990
3906,3,Sinead O’Connor,Nothing Compares 2 U,1990
3907,4,Bell Biv Devoe,Poison,1990
3908,5,Madonna,Vogue,1990
3909,6,Mariah Carey,Vision Of Love,1990
3910,7,Phil Collins,Another Day In Paradise,1990
3911,8,En Vogue,Hold On,1990
3912,9,Billy Idol,Cradle Of Love,1990
3913,10,Jon Bon Jovi,Blaze Of Glory,1990
3914,11,Bell Biv Devoe,Do Me!,1990
3915,12,Michael Bolton,How Am I Supposed To Live Without You,1990
3916,13,Technotronic,Pump Up The Jam,1990
3917,14,Paula Abdul,Opposites Attract,1990
3918,15,Janet Jackson,Escapade,1990
3919,16,Heart,All I Wanna Do Is Make Love To You,1990
3920,17,Maxi Priest,Close To You,1990
3921,18,Alannah Myles,Black Velvet,1990
3922,19,Wilson Phillips,Release Me,1990
3923,20,Linda Ronstadt and Aaron Neville,Don’t Know Much,1990
3924,21,Lisa Stansfield,All Around The World,1990
3925,22,Calloway,I Wanna Be Rich,1990
3926,23,Johnny Gill,Rub You The Right Way,1990
3927,24,Glenn Medeiros feat. Bobby Brown,She Ain’t Worth It,1990
3928,25,Sweet Sensation,If Wishes Came True,1990
3929,26,Snap,The Power,1990
3930,27,Nelson,(Can’t Live Without Your) Love And Affection,1990
3931,28,Taylor Dayne,Love Will Lead You Back,1990
3932,29,Jane Child,Don’t Wanna Fall In Love,1990
3933,30,Seduction,Two To Make It Right,1990
3934,31,Linear,Sending All My Love,1990
3935,32,Poison,Unskinny Bop,1990
3936,33,New Kids On The Block,Step By Step,1990
3937,34,Roxette,Dangerous,1990
3938,35,Billy Joel,We Didn’t Start The Fire,1990
3939,36,James Ingram,I Don’t Have The Heart,1990
3940,37,Rod Stewart,Downtown Train,1990
3941,38,Janet Jackson,Rhythm Nation,1990
3942,39,Tommy Page,I’ll Be Your Everything,1990
3943,40,B-52’s,Roam,1990
3944,41,Jody Watley,Everything,1990
3945,42,Soul II Soul,Back To Life,1990
3946,43,Luther Vandross,Here And Now,1990
3947,44,Janet Jackson,Alright,1990
3948,45,Vanilla Ice,Ice Ice Baby,1990
3949,46,Milli Vanilli,Blame It On The Rain,1990
3950,47,M.C. Hammer,Have You Seen Her,1990
3951,48,Taylor Dayne,With Every Beat Of My Heart,1990
3952,49,Janet Jackson,Come Back To Me,1990
3953,50,Michel’le,No More Lies,1990
3954,51,George Michael,Praying For Time,1990
3955,52,Michael Bolton,How Can We Be Lovers,1990
3956,53,Phil Collins,Do You Remember,1990
3957,54,After 7,Ready Or Not,1990
3958,55,M.C. Hammer,U Can’t Touch This,1990
3959,56,Phil Collins,I Wish It Would Rain Down,1990
3960,57,Lou Gramm,Just Between You And Me,1990
3961,58,Phil Collins,Something Happened On The Way To Heaven,1990
3962,59,Janet Jackson,Black Cat,1990
3963,60,After 7,Can’t Stop,1990
3964,61,Aerosmith,Janie’s Got A Gun,1990
3965,62,Digital Underground,The Humpty Dance,1990
3966,63,Taylor Dayne,I’ll Be Your Shelter,1990
3967,64,Tom Petty,Free Fallin’,1990
3968,65,Pebbles,Giving You The Benefit,1990
3969,66,Depeche Mode,Enjoy The Silence,1990
3970,67,Tesla,Love Song,1990
3971,68,Bad English,Price Of Love,1990
3972,69,Tyler Collins,Girls Nite Out,1990
3973,70,Go West,King Of Wishful Thinking,1990
3974,71,Chicago,What Kind Of Man Would I Be?,1990
3975,72,Skid Row,I Remember You,1990
3976,73,Technotronic,Get Up! (Before The Night Is Over),1990
3977,74,Gloria Estefan,Here We Are,1990
3978,75,Faith No More,Epic,1990
3979,76,Mariah Carey,Love Takes Time,1990
3980,77,Cher,Just Like Jesse James,1990
3981,78,B-52s,Love Shack,1990
3982,79,Milli Vanilli,All Or Nothing,1990
3983,80,Dino,Romeo,1990
3984,81,Black Box,Everybody Everybody,1990
3985,82,Billy Joel,I Go To Extremes,1990
3986,83,Babyface,Whip Appeal,1990
3987,84,Paul Young,Oh Girl,1990
3988,85,D-Mob With Cathy Dennis,C’mon And Get My Love,1990
3989,86,Paula Abdul,(It’s Just) The Way That You Love Me,1990
3990,87,The Cover Girls,We Can’t Go Wrong,1990
3991,88,Michael Bolton,When I’m Back On My Feet Again,1990
3992,89,Keith Sweat,Make You Sweat,1990
3993,90,New Kids On The Block,This One’s For The Children,1990
3994,91,Aerosmith,What It Takes,1990
3995,92,Kiss,Forever,1990
3996,93,The Time,Jerk Out,1990
3997,94,Biz Markie,Just A Friend,1990
3998,95,A’me Lorain,Whole Wide World,1990
3999,96,Motley Crue,Without You,1990
4000,97,Jive Bunny and The Master Mixers,Swing The Mood,1990
4001,98,Prince,Thieves In The Temple,1990
4002,99,Mellow Man Ace,Mentirosa,1990
4003,100,Kyper,Tic-Tac-Toe,1990
4004,1,Bryan Adams,(Everything I Do) I Do It For You,1991
4005,2,Color Me Badd,I Wanna Sex You Up,1991
4006,3,C+C Music Factory,Gonna Make You Sweat,1991
4007,4,Paula Abdul,Rush Rush,1991
4008,5,Timmy T,One More Try,1991
4009,6,EMF,Unbelievable,1991
4010,7,Extreme,More Than Words,1991
4011,8,Hi-Five,I Like The Way (The Kissing Game),1991
4012,9,Surface,The First Time,1991
4013,10,Amy Grant,"Baby, Baby",1991
4014,11,Boyz II Men,Motownphilly,1991
4015,12,Stevie B,Because I Love You (The Postman Song),1991
4016,13,Mariah Carey,Someday,1991
4017,14,Damn Yankees,High Enough,1991
4018,15,Bette Midler,From A Distance,1991
4019,16,Whitney Houston,All The Man That I Need,1991
4020,17,Jesus Jones,"Right Here, Right Now",1991
4021,18,Color Me Badd,I Adore Mi Amor,1991
4022,19,Janet Jackson,Love Will Never Do (Without You),1991
4023,20,Marky Mark and The Funky Bunch feat. Loleatta Holloway,Good Vibrations,1991
4024,21,Madonna,Justify My Love,1991
4025,22,Mariah Carey,Emotions,1991
4026,23,Roxette,Joyride,1991
4027,24,Karyn White,Romantic,1991
4028,25,Tara Kemp,Hold You Tight,1991
4029,26,Mariah Carey,I Don’t Wanna Cry,1991
4030,27,Wilson Phillips,You’re In Love,1991
4031,28,Amy Grant,Every Heartbeat,1991
4032,29,Ralph Tresvant,Sensitivity,1991
4033,30,Cathy Dennis,Touch Me (All Night Long),1991
4034,31,Londonbeat,I’ve Been Thinking About You,1991
4035,32,Natural Selection,Do Anything,1991
4036,33,R.E.M.,Losing My Religion,1991
4037,34,Gloria Estefan,Coming Out Of The Dark,1991
4038,35,Lenny Kravitz,It Ain’t Over ‘Til It’s Over,1991
4039,36,C+C Music Factory,Here We Go,1991
4040,37,Celine Dion,Where Does My Heart Beat Now,1991
4041,38,D.J. Jazzy Jeff and The Fresh Prince,Summertime,1991
4042,39,Scorpions,Wind Of Change,1991
4043,40,Rhythm Syndicate,P.A.S.S.I.O.N.,1991
4044,41,Paula Abdul,The Promise Of A New Day,1991
4045,42,Whitney Houston,I’m Your Baby Tonight,1991
4046,43,Firehouse,Love Of A Lifetime,1991
4047,44,Roxette,Fading Like A Flower (Every Time You Leave),1991
4048,45,Tracie Spencer,This House,1991
4049,46,Extreme,Hole Hearted,1991
4050,47,Luther Vandross,Power Of Love-Love Power,1991
4051,48,Wilson Phillips,Impulsive,1991
4052,49,Michael Bolton,Love Is A Wonderful Thing,1991
4053,50,Rod Stewart,Rhythm Of My Heart,1991
4054,51,C+C Music Factory,Things That Make You Go Hmmmm…,1991
4055,52,Divinyls,I Touch Myself,1991
4056,53,DMA,Tom’s Diner,1991
4057,54,Another Bad Creation,Iesha,1991
4058,55,Bonnie Raitt,Something To Talk About,1991
4059,56,Nelson,After The Rain,1991
4060,57,Vanilla Ice,Play That Funky Music,1991
4061,58,Corina,Temptation,1991
4062,59,Bryan Adams,Can’t Stop This Thing We Started,1991
4063,60,Hi-Five,I Can’t Wait Another Minute,1991
4064,61,The KLF,3 A.M. Eternal,1991
4065,62,Michael Bolton,Time. Love And Tenderness,1991
4066,63,Enigrna,Saideness Part I,1991
4067,64,LL Cool J,Around The Way Girl,1991
4068,65,Escape Club,I’ll Be There,1991
4069,66,Prince And The N.P.G.,Cream,1991
4070,67,Heavy D. and The Boyz,Now That We Found Love,1991
4071,68,Styx,Show Me The Way,1991
4072,69,Mariah Carey,Love Takes Time,1991
4073,70,Rick Astley,Cry For Help,1991
4074,71,UB40,The Way You Do The Things You Do,1991
4075,72,UB40,Here I Am (Come And Take Me),1991
4076,73,Tesla,Signs,1991
4077,74,Cathy Dennis,Too Many Walls,1991
4078,75,Seal,Crazy,1991
4079,76,Keith Sweat,I’ll Give All My Love To You,1991
4080,77,Michael W. Smith,Place In This World,1991
4081,78,Poison,Something To Believe In,1991
4082,79,Chris Issak,Wicked Game,1991
4083,80,Oleta Adams,Get Here,1991
4084,81,Tevin Campbell,Round And Round,1991
4085,82,Queensryche,Silent Lucidity,1991
4086,83,Will To Power,I’m Not In Love,1991
4087,84,Tara Kemp,Piece Of My Heart,1991
4088,85,Jesus Jones,Real Real Real,1991
4089,86,Cathy Dennis,Just Another Dream,1991
4090,87,Aaron Neville,Everybody Plays The Fool,1991
4091,88,Black Box,Strike It Up,1991
4092,89,Gerardo,Rico Suave,1991
4093,90,INXS,Disappear,1991
4094,91,Deee-Lite,Groove Is In The Heart,1991
4095,92,Sting,All This Time,1991
4096,93,Chesney Hawkes,The One And Only,1991
4097,94,Naughty By Nature,O.P.P.,1991
4098,95,George Michael,Freedom 90,1991
4099,96,Warrent,I Saw Red,1991
4100,97,Winger,Miles Away,1991
4101,98,Salt-N-Pepa,Do You Want Me,1991
4102,99,Rod Stewart,The Motown Song,1991
4103,100,R.E.M.,Shiny Happy People,1991
4104,1,Boyz II Men,End Of The Road,1992
4105,2,Sir Mix A-lot,Baby Got Back,1992
4106,3,Kris Kross,Jump,1992
4107,4,Vanessa Williams,Save The Best For Last,1992
4108,5,TLC,Baby-Baby-Baby,1992
4109,6,Eric Clapton,Tears In Heaven,1992
4110,7,En Vogue,My Lovin’ (You’re Never Gonna Get It),1992
4111,8,Red Hot Chili Peppers,Under The Bridge,1992
4112,9,Color Me Badd,All 4 Love,1992
4113,10,Jon Secada,Just Another Day,1992
4114,11,Shanice,I Love Your Smile,1992
4115,12,Mr. Big,To Be With You,1992
4116,13,Right Said Fred,I’m Too Sexy,1992
4117,14,Michael Jackson,Black Or White,1992
4118,15,Billy Ray Cyrus,Achy Breaky Heart,1992
4119,16,Mariah Carey,I’ll Be There,1992
4120,17,Guns N’ Roses,November Rain,1992
4121,18,Tom Cochrane,Life Is A Highway,1992
4122,19,Michael Jackson,Remember The Time,1992
4123,20,CeCe Peniston,Finally,1992
4124,21,Madonna,This Used To Be My Playground,1992
4125,22,Patty Smyth,Sometimes Love Just Ain’t Enough,1992
4126,23,Mariah Carey,Can’t Let Go,1992
4127,24,House Of Pain,Jump Around,1992
4128,25,Prince and The N.P.G.,Diamonds And Pearls,1992
4129,26,George Michael and Elton John,Don’t Let The Sun Go Down On Me,1992
4130,27,Atlantic Starr,Masterpiece,1992
4131,28,Celine Dion,If You Asked Me To,1992
4132,29,En Vogue,Giving Him Something He Can Feel,1992
4133,30,Joe Public,Live And Learn,1992
4134,31,Jodeci,Come & Talk To Me,1992
4135,32,Nirvana,Smells Like Teen Spirit,1992
4136,33,Bobby Brown,Humpin’ Around,1992
4137,34,Sophie B. Hawkins,Damn I Wish I Was Your Lover,1992
4138,35,Teven Campbell,Tell Me What You Want Me To Do,1992
4139,36,TLC,Ain’t 2 Proud 2 Beg,1992
4140,37,Boyz II Men,It’s So Hard To Say Goodbye To Yesterday,1992
4141,38,Technotronic,Move This,1992
4142,39,Queen,Bohemian Rhapsody,1992
4143,40,Arrested Development,Tennessee,1992
4144,41,Luther Vandross and Janet Jackson,The Best Things In Life Are Free,1992
4145,42,Mariah Carey,Make It Happen,1992
4146,43,Elton John,The One,1992
4147,44,P.M. Dawn,Set Adrift On Memory Bliss,1992
4148,45,Shakespear’s Sister,Stay,1992
4149,46,Hammer,2 Legit 2 Quit,1992
4150,47,K.W.S.,Please Don’t Go,1992
4151,48,Mint Condition,Breakin’ My Heart (Pretty Brown Eyes),1992
4152,49,Cover Girls,Wishing On A Star,1992
4153,50,Hi-Five,She’s Playing Hard To Get,1992
4154,51,P.M. Dawn,I’d Die Without You,1992
4155,52,Amy Grant,Good For Me,1992
4156,53,Toad The Wet Sprocket,All I Want,1992
4157,54,Michael Bolton,When A Man Loves A Woman,1992
4158,55,Genesis,I Can’t Dance,1992
4159,56,Richard Marx,Hazard,1992
4160,57,U2,Mysterious Ways,1992
4161,58,George Michael,Too Funky,1992
4162,59,Heights,How Do You Talk To An Angel,1992
4163,60,U2,One,1992
4164,61,CeCe Peniston,Keep On Walkin’,1992
4165,62,Genesis,Hold On My Heart,1992
4166,63,Karyn White,The Way I Feel About You,1992
4167,64,Calms Dion And Peabo Bryson,Beauty And The Beast,1992
4168,65,Kris Kross,Warm It Up,1992
4169,66,Michael Jackson,In The Closet,1992
4170,67,Arrested Development,People Everyday,1992
4171,68,Genesis,No Son Of Nine,1992
4172,69,Marky Mark And The Funky Bunch,Wildside,1992
4173,70,Bryan Adams,Do I Have To Say The Words?,1992
4174,71,Cure,Friday I’m In Love,1992
4175,72,Ugly Kid Joe,Everything About You,1992
4176,73,Paula Abdul,Blowing Kisses In The Wind,1992
4177,74,Bryan Adams,Thought I’d Died And Gone To Heaven,1992
4178,75,Snap,Rhythm Is A Dancer,1992
4179,76,Hammer,Addams Groove,1992
4180,77,Michael Bolton,Missing You Now,1992
4181,78,N2Deep,Back To The Hotel,1992
4182,79,Kathy Troccoli,Everything Changes,1992
4183,80,Def Leppard,Have You Ever Needed Somone So Bad,1992
4184,81,Richard Marx,Take This Heart,1992
4185,82,Firehouse,When I Look Into Your Eyes,1992
4186,83,Jade,I Wanna Love You,1992
4187,84,Boyz II Men,Uhh Ahh,1992
4188,85,Mary J. Blige,Real Love,1992
4189,86,The KLF,Justified And Ancient,1992
4190,87,Color Me Badd,Slow Motion,1992
4191,88,TLC,What About Your Friends,1992
4192,89,Color Me Badd,Thinkin’ Back,1992
4193,90,Charles and Eddie,Would I Lie To You?,1992
4194,91,Amy Grant,That’s What Love Is For,1992
4195,92,Richard Marx,Keep Coming Back,1992
4196,93,En Vogue,Free Your Mind,1992
4197,94,Keith Sweat,Keep It Comin’,1992
4198,95,Mr. Big,Just Take My Heart,1992
4199,96,Amy Grant,I Will Remember You,1992
4200,97,CeCe Peniston,We Got A Love Thang,1992
4201,98,Def Leppard,Let’s Get Rocked,1992
4202,99,Das EFX,They Want EFX,1992
4203,100,Bonnie Raitt,I Can’t Make You Love Me,1992
4204,1,Whitney Houston,I Will Always Love You,1993
4205,2,Tag Team,Whoomp! (There It Is),1993
4206,3,UB40,Can’t Help Falling In Love,1993
4207,4,Janet Jackson,That’s The Way Love Goes,1993
4208,5,Silk,Freak Me,1993
4209,6,SWV,Weak,1993
4210,7,Shai,If I Ever Fall In Love,1993
4211,8,Mariah Carey,Dreamlover,1993
4212,9,Wreckx-N-Effect,Rump Shaker,1993
4213,10,Snow,Informer,1993
4214,11,Dr. Dre,Nuthin’ But A “G” Thang,1993
4215,12,Boyz II Men,In The Still Of The Nite,1993
4216,13,Jade,Don’t Walk Away,1993
4217,14,H-Town,Knockin’ Da Boots,1993
4218,15,Jodeci,Lately,1993
4219,16,Duice,Dazzey Duks,1993
4220,17,Robin S.,Show Me Love,1993
4221,18,Peabo Bryson and Regina Belle,A Whole New World,1993
4222,19,Janet Jackson,If,1993
4223,20,SWV,I’m So Into You,1993
4224,21,Vanessa Willlams and Brian Mcknight,Love Is,1993
4225,22,Soul Asylum,Runaway Train,1993
4226,23,Expose,I’ll Never Get Over You (Getting Over Me),1993
4227,24,Paperboy,Ditty,1993
4228,25,Snap,Rhythm Is A Dancer,1993
4229,26,Billy Joel,The River Of Dreams,1993
4230,27,Proclaimers,I’m Gonna Be (500 Miles),1993
4231,28,Spin Doctors,Two Princes,1993
4232,29,SWV,Right Here (Human Nature)-Downtown,1993
4233,30,Whitney Houston,I Have Nothing,1993
4234,31,Arrested Development,Mr. Wendal,1993
4235,32,Rod Stewart,Have I Told You Lately,1993
4236,33,Shanice,Saving Forever For You,1993
4237,34,Duran Duran,Ordinary World,1993
4238,35,Tony! Toni! Tone!,If I Had No Loot,1993
4239,36,Meat Loaf,I’d Do Anything For Love (But I Won’t Do That),1993
4240,37,Onyx,Slam,1993
4241,38,P.M. Dawn,Looking Through Patient Eyes,1993
4242,39,Whitney Houston,I’m Every Woman,1993
4243,40,Shai,Baby I’m Yours,1993
4244,41,Duran Duran,Come Undone,1993
4245,42,Tina Turner,I Don’t Wanna Fight,1993
4246,43,P.M. Dawn,I’d Die Without You,1993
4247,44,95 South,"Whoot, There It Is",1993
4248,45,Naughty By Nature,Hip Hop Hooray,1993
4249,46,Toni Braxton,Another Sad Love Song,1993
4250,47,Michael Jackson,Will You Be There,1993
4251,48,Shil,Comforter,1993
4252,49,Bobby Brown,Good Enough,1993
4253,50,4 Non Blondes,What’s Up,1993
4254,51,Ace Of Base,All That She Wants,1993
4255,52,Prince and The New Power Generation,7,1993
4256,53,Dr. Dre,Dre Day,1993
4257,54,Brian McKnight,One Last Cry,1993
4258,55,Xscape,Just Kickin’ It,1993
4259,56,2Pac,I Get Around,1993
4260,57,Bon Jovi,Bed Of Roses,1993
4261,58,Mary J. Blige,Real Love,1993
4262,59,Portrait,Here We Go Again!,1993
4263,60,Aerosmith,Cryin’,1993
4264,61,Ugly Kid Joe,Cats In The Cradle,1993
4265,62,TLC,What About Your Friends,1993
4266,63,Positive K,I Got A Man,1993
4267,64,Zhane,Hey Mr. D.J.,1993
4268,65,Cypress Hill,Insane In The Brain,1993
4269,66,Madonna,Deeper And Deeper,1993
4270,67,Madonna,Rain,1993
4271,68,Jeremy Jordan,The Right Kind Of Love,1993
4272,69,Inner Circle,Bad Boys,1993
4273,70,Boy Krazy,That’s What Love Can Do,1993
4274,71,Jon Secada,Do You Believe In Us,1993
4275,72,Jon Secada,Angel,1993
4276,73,Kenny G,Forever In Love,1993
4277,74,Janet Jackson,Again,1993
4278,75,Jazzy Jeff and Fresh Prince,Boom! Shake The Room,1993
4279,76,Restless Heart,When She Cries,1993
4280,77,Inner Circle,Sweat (A La La La La Long),1993
4281,78,Ice Cube,It Was A Good Day,1993
4282,79,Captain Hollywood Project,More And More,1993
4283,80,Heights,How Do You Talk To An Angel,1993
4284,81,Digable Planets,Rebirth Of Slick (Cool Like Dat),1993
4285,82,Haddaway,What Is Love,1993
4286,83,Michael Bolton,To Love Somebody,1993
4287,84,En Vogue,"Give It Up, Turn It Loose",1993
4288,85,Kris Kross,Alright,1993
4289,86,Ice Cube,Check Yo Self,1993
4290,87,Sting,Fields Of Gold,1993
4291,88,Dino,Ooh Child,1993
4292,89,Go West,Faithful,1993
4293,90,Rod Stewart,Reason To Believe,1993
4294,91,Tears For Fears,Break It Down Again,1993
4295,92,Joey Lawrence,Nothin’ My Love Can’t Fix,1993
4296,93,Green Jelly,Three Little Pigs,1993
4297,94,Aerosmith,Livin’ On The Edge,1993
4298,95,Gin Blossoms,Hey Jealousy,1993
4299,96,Sting,If I Ever Lose My Faith In You,1993
4300,97,Tony! Toni! Tone!,Anniversary,1993
4301,98,Jade,One Woman,1993
4302,99,Taylor Dayne,Can’t Get Enough Of Your Love,1993
4303,100,Def Leppard,Two Steps Behind,1993
4304,1,Ace Of Base,The Sign,1994
4305,2,All-4-One,I Swear,1994
4306,3,Boyz II Men,I’ll Make Love To You,1994
4307,4,Celine Dion,The Power Of Love,1994
4308,5,Mariah Carey,Hero,1994
4309,6,Lisa Loeb and Nine Stories,Stay (I Missed You),1994
4310,7,Toni Braxton,Breathe Again,1994
4311,8,"Bryan Adams, Rod Stewart and Sting",All For Love,1994
4312,9,Ace Of Base,All That She Wants,1994
4313,10,Ace Of Base,Don’t Turn Around,1994
4314,11,R. Kelly,Bump N’ Grind,1994
4315,12,Janet Jackson,Again,1994
4316,13,Madonna,I’ll Remember,1994
4317,14,Salt-N-Pepa,Whatta Man,1994
4318,15,John Mellencamp and Me’shell Ndegeocello,Wild Night,1994
